1073396523,Леопольд,50,180,75,ж,низкий,похудеть
1073396523,Наталья,30,170,100,ж,низкий,похудеть
1073396523,Валера,16,150,110,мужской,низкий,похудеть
668824141,Ботик,15,179,72,мужской,Средний,Похудеть
668824141,Дима,19,179,68,мужской,средний,набрать вес
668824141,Отметить как выполнено,18,180,69,мужской,средний,набрать вес
668824141,Дима,10,180,69,мужской,средний,набрать вес
668824141,дима иупович,20,180,56,мужской,средний,набрать вес
668824141,дима,19,180,69,мужской,средний,набрать вес
668824141,п,19,198,67,мужской,низкий,похудеть
